,betweenness,closeness centrality,clustering coefficient,degree centrality,eigenvector centrality,label,n_bills,party,photo,url,modularity_class
1,0,0,0.5,0.018518519,1.63E-41,Abd Al Hakeem Haj Yahya,37,Joint List,photos/Haj-Yahya_Abd-Al-Hakeem.jpg,https://oknesset.org/member/923,2
2,0,0,0.365384615,0.12037037,1.63E-41,Abdullah Abu Maaruf,152,Joint List,photos/Abu-Maaruf_Abdullah.jpg,https://oknesset.org/member/909,2
3,5.77E-05,0.060606061,0.392857143,0.074074074,1.19E-33,Ahmad Tibi,78,Joint List,photos/tibi_ahmed.jpg,https://oknesset.org/member/208,2
4,0,0,0.354545455,0.101851852,1.63E-41,Aida Touma-Sliman,133,Joint List,photos/Touma-Sliman_Aida.jpg,https://oknesset.org/member/948,2
5,0,0,0.336363636,0.101851852,1.63E-41,Aliza Lavie,112,Yesh Atid,photos/Lavie_Aliza.jpg,https://oknesset.org/member/875,1
6,0,0,0.5,0.018518519,1.63E-41,Amir Peretz,30,Zionist Union,photos/peretz_amir.jpg,https://oknesset.org/member/105,1
7,0.000125986,0.340700189,0.228947368,0.185185185,1.99E-10,Anat Berko,42,Likud,photos/Berko_Anat.jpg,https://oknesset.org/member/918,0
8,0,0.123038293,0.15,0.046296296,2.15E-27,Aryeh Machluf Deri,11,Shas,photos/deri_aryeh.jpg,https://oknesset.org/member/41,2
9,0,0,0.5,0.018518519,1.63E-41,Avi Dichter,23,Likud,photos/dicter_abraham.jpg,https://oknesset.org/member/771,0
10,0,0.037037037,0.166666667,0.037037037,3.74E-36,Avigdor Liberman,12,Yisrael Beiteinu,photos/liberman_avigdor.jpg,https://oknesset.org/member/214,0
11,0.002109003,0.364325069,0.16091954,0.277777778,3.36E-12,Avraham Naguisa,59,Likud,photos/Nagosa_Avraham.jpg,https://oknesset.org/member/932,0
12,0,0,0.28021978,0.12962963,1.63E-41,Ayelet Nahmias-Verbin,84,Zionist Union,photos/Nahmias-Verbin_Ayelet.jpg,https://oknesset.org/member/933,0
13,0,0,0.5,0.018518519,1.63E-41,Ayelet Shaked,40,The Jewish Home,photos/Shaked_Ayelet.jpg,https://oknesset.org/member/904,1
14,0.011401131,0.163333333,0.195402299,0.277777778,2.85E-31,Ayman Udeh,135,Joint List,photos/Uda_Aiman.jpg,https://oknesset.org/member/938,2
15,0,0,0.380952381,0.064814815,1.63E-41,Basel Ghattas,52,Joint List,photos/Jitas_Basil.jpg,https://oknesset.org/member/867,2
16,0,0,0.5,0.037037037,1.63E-41,Bezalel Smotrich,49,The Jewish Home,photos/Smotrich_Bezalel.jpg,https://oknesset.org/member/936,0
17,0.000255279,0.41609589,0.138176638,0.25,1.53E-07,David Amsalem,36,Likud,photos/Amsalem_David.jpg,https://oknesset.org/member/912,0
18,0.001236216,0.28270934,0.294372294,0.203703704,4.13E-17,David Azoulay,53,Shas,photos/azoulay_david.jpg,https://oknesset.org/member/7,1
19,0.0033281,0.63712522,0.088893766,0.62962963,9.70E-05,David Bitan,55,Likud,photos/Bitan_David.jpg,https://oknesset.org/member/914,0
20,0.011351719,0.092592593,0.203488372,0.407407407,7.49E-36,Dov Khenin,454,Joint List,photos/khenin_dov.jpg,https://oknesset.org/member/780,1
21,0,0,0.285714286,0.064814815,1.63E-41,Eitan Broshi,49,Zionist Union,photos/Broshi_Eitan.jpg,https://oknesset.org/member/917,0
22,0.001963896,0.070023148,0.25,0.231481481,1.19E-33,Eitan Cabel,259,Zionist Union,photos/cabel_eitan.jpg,https://oknesset.org/member/64,1
23,0,0,0.303571429,0.074074074,1.63E-41,Elazar Stern,84,Yesh Atid,photos/Stern_Eliezer.jpg,https://oknesset.org/member/899,1
24,0,0,0,0,1.63E-41,Eli Ben-Dahan,3,The Jewish Home,photos/BenDahan_Eliahu.jpg,https://oknesset.org/member/863,1
25,0,0,0.5,0.027777778,1.63E-41,Eli Cohen,35,Kulanu,photos/Cohen_Eli1.jpg,https://oknesset.org/member/928,0
26,0.002076582,0.39151936,0.145121951,0.37962963,1.03E-13,Elie Elalouf,56,Kulanu,photos/Alalouf_Eli.jpg,https://oknesset.org/member/911,0
27,0,0,0.355555556,0.092592593,1.63E-41,Erel Margalit,67,Zionist Union,photos/Margalit_Erel.jpg,https://oknesset.org/member/882,1
28,0,0,0.379084967,0.166666667,1.63E-41,Esawi   Frej,167,Meretz,photos/Farij_Issawi.jpg,https://oknesset.org/member/888,1
29,0,0,0.446428571,0.074074074,1.63E-41,Eyal Ben-Reuven,62,Zionist Union,photos/Ben-Reuven_Eyal.jpg,https://oknesset.org/member/916,0
30,0.000553825,0.465860418,0.227586207,0.277777778,0.002177073,Gila Gamliel,52,Likud,photos/gamliel_gila.jpg,https://oknesset.org/member/723,1
31,0,0,0.285714286,0.064814815,1.63E-41,Haim Jelin,73,Yesh Atid,photos/Yalin_Haim.jpg,https://oknesset.org/member/927,0
32,1.44E-05,0.30444847,0.245014245,0.25,4.13E-17,Haim Katz,49,Likud,photos/katz_haim.jpg,https://oknesset.org/member/212,1
33,0,0,0.166666667,0.055555556,1.63E-41,Hamad Amar,58,Yisrael Beiteinu,photos/Amar_Hamad.jpg,https://oknesset.org/member/837,0
34,0,0,0.4,0.046296296,1.63E-41,Hanin Zoabi,45,Joint List,photos/Zuabi_Hanin.jpg,https://oknesset.org/member/846,2
35,0,0,0.294466403,0.212962963,1.63E-41,Ilan Gilon,258,Meretz,photos/gilon_ilan.jpg,https://oknesset.org/member/200,1
36,0.006442644,0.326933551,0.158143939,0.305555556,2.36E-20,Isaac Herzog,49,Zionist Union,photos/herzog_yitzhak.jpg,https://oknesset.org/member/740,1
37,0,0,0.166666667,0.055555556,1.63E-41,Israel Eichler,47,United Torah Judaism,photos/eichler_israel.jpg,https://oknesset.org/member/754,0
38,0.023105065,0.272727273,0.179421769,0.453703704,1.50E-25,Itzik Shmuli,197,Zionist Union,photos/Shmuli_Itzik.jpg,https://oknesset.org/member/901,1
39,0,0.124756335,0,0.018518519,1.47E-25,Jackie Levy,6,Likud,photos/Levy_Jackie.jpg,https://oknesset.org/member/929,0
40,0.00024635,0.068035427,0.357142857,0.074074074,1.19E-33,Jamal Zahalka,43,Joint List,photos/zahalka_jamal.jpg,https://oknesset.org/member/756,2
41,0,0,0.239473684,0.185185185,1.63E-41,Karin Elharrar,141,Yesh Atid,photos/Alharar_Karin.jpg,https://oknesset.org/member/860,0
42,0,0,0.266666667,0.092592593,1.63E-41,Ksenia Svetlova,67,Zionist Union,photos/Svetlova_Ksenia.jpg,https://oknesset.org/member/934,0
43,0,0,0.25,0.037037037,1.63E-41,Manuel Trajtenberg,41,Zionist Union,photos/Trajtenberg_Manuel.jpg,https://oknesset.org/member/925,0
44,0,0,0.4,0.046296296,1.63E-41,Masud Ganaim,51,Joint List,photos/Ganaim_Masud.jpg,https://oknesset.org/member/844,2
